gender,age,provience,city,area,degree,job,income_month,is_car,num_out_daily,dis_out_avg,order_daily,order_life,order_play,order_no_out,order_public,order_private,order_elec_bike,order_foot,order_others,is_public,agree_guilty,agree_new_national,agree_new_international,agree_vaccine,agree_mask_self-protect,agree_mask_safe_public-with-mask,agree_mask_safe_public-no-mask,agree_mask_public-no-mask-after-vaccine,agree_public_decline,agree_public_no-stop,agree_public_limit-people,agree_public_sign,agree_public_disinfect,agree_public_driver-check,agree_public_mask,agree_public_qr,agree_public_temp,agree_public_track,agree_public_multiple-time,agree_public_custom,agree_public_special,agree_public-eff_decline,agree_public-eff_no-stop,agree_public-eff_limit-people,agree_public-eff_sign,agree_public-eff_disinfect,agree_public-eff_driver-check,agree_public-eff_mask,agree_public-eff_qr,agree_public-eff_temp,agree_public-eff_track,agree_reason_convience,agree_reason_time,agree_reason_crowd,agree_reason_price,agree_reeason_friend,agree_reason_export,agree_reason_others,agree_choose_public_daily,agree_choose_public_play,agree_choose_public_weekday,agree_choose_public_holiday
1,2,云南,昆明,呈贡,4,1,1,1,3,2,1,2,3,4,2,-2,-2,1,3,4,3,3,3,3,3,2,2,2,3,4,4,4,4,4,4,4,3,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
1,5,广东,佛山,南海,3,3,3,1,4,2,1,2,3,-2,-2,1,-2,2,3,5,4,4,4,4,4,4,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2,5,广东,佛山,南海,3,2,3,1,4,2,1,2,3,-2,-2,1,-2,2,3,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2,3,湖南,衡阳,石鼓,5,2,4,2,4,2,1,2,3,-2,3,-2,-2,1,2,3,4,4,4,4,3,4,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,4,4,3,2,2,2,2
2,2,湖南,长沙,天心,4,2,2,2,3,4,1,2,3,-2,2,-2,-2,1,3,3,5,5,4,4,5,5,2,2,2,4,4,4,5,5,5,5,5,5,5,5,5,2,3,4,5,5,5,5,5,5,5,5,5,5,3,3,3,3,4,1,5,3
2,1,湖南,衡阳,衡阳,3,1,1,2,2,5,1,2,3,-2,1,-2,3,2,-2,2,4,4,3,4,4,3,2,2,1,1,1,4,4,4,4,4,4,4,4,4,4,2,2,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,2,2,2,2
2,5,湖北,武汉,江汉,4,2,2,1,3,1,1,2,-2,3,3,2,1,-2,-2,2,1,5,5,5,5,5,2,2,5,2,4,5,5,5,5,4,5,5,4,3,4,4,3,3,4,5,5,5,4,4,4,2,2,3,3,3,3,3,3,3,3,2
2,3,广东,广州,番禺,3,3,1,2,3,1,-2,1,3,2,2,-2,-2,1,3,4,4,4,4,4,4,4,2,2,3,3,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,3,2,3,3,3,3,3,3,2,2
1,2,湖北,武汉,江夏,4,1,1,2,3,5,2,-2,3,1,3,-2,2,1,-2,4,4,5,4,4,5,5,1,2,3,4,4,4,5,5,4,4,4,4,4,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,3,2,3
1,2,湖北,武汉,江夏,4,1,1,2,3,5,2,1,-2,3,2,-2,-2,1,3,3,5,5,4,5,5,5,3,3,4,4,5,5,5,5,5,5,5,4,4,4,4,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,3,3,3,3
2,2,湖北,武汉,江夏,4,1,1,1,5,5,3,1,-2,2,-2,2,3,1,-2,4,5,5,3,5,5,5,1,1,1,1,3,3,5,5,5,5,5,2,2,5,5,1,1,3,3,5,5,5,5,5,2,5,5,5,3,5,5,5,2,1,1,1
1,2,湖北,武汉,江夏,4,1,1,2,3,4,3,1,2,-2,2,-2,1,3,-2,3,3,4,2,3,2,4,2,2,2,2,3,3,4,4,4,4,4,2,3,4,4,2,2,2,4,4,4,4,4,4,2,4,4,4,3,4,4,4,3,3,3,3
1,2,湖北,武汉,江夏,4,1,2,1,1,2,2,1,3,-2,1,-2,-2,2,3,4,3,3,3,3,3,5,1,4,2,3,3,4,3,3,3,3,3,3,3,3,3,2,3,3,4,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3
1,6,湖北,武汉,江汉,4,2,3,1,4,3,1,2,-2,3,-2,1,2,3,-2,3,4,4,4,4,4,4,1,1,3,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,2,4,4,4,3,3,3,3
2,2,天津,天津,宝坻,4,1,1,1,5,4,1,2,-2,3,1,-2,-2,2,3,3,4,4,4,4,5,4,2,2,2,2,4,4,5,5,4,4,4,3,3,3,4,2,2,4,4,4,4,4,4,4,3,4,4,4,3,3,3,3,1,1,1,1
2,6,广东,广州,番禺,4,2,3,1,3,1,1,2,3,-2,1,2,-2,3,4,2,4,4,4,3,5,5,1,1,4,4,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,2,2,2,2
2,4,贵州,贵阳,白云,3,2,2,1,3,3,1,2,3,-2,1,2,-2,3,-2,2,4,4,4,4,4,4,4,4,2,3,4,4,4,3,4,3,3,3,3,3,4,2,3,4,4,4,3,4,3,3,3,4,3,3,3,4,3,3,1,1,1,1
1,2,江苏,南京,浦口,4,1,4,2,5,5,-2,1,3,2,-2,-2,3,2,1,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,2,3,3
1,7,贵州,贵阳,花溪,3,1,1,2,1,2,2,1,3,-2,1,-2,2,3,-2,2,5,5,5,5,5,5,1,1,2,4,4,5,5,5,5,5,5,5,5,5,5,2,4,4,4,5,5,5,5,5,5,3,3,3,3,3,3,3,2,2,2,2
1,7,河北,秦皇岛,海港,5,2,4,2,3,1,-2,2,1,3,-2,2,1,3,-2,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,5,3
2,1,贵州,贵阳,花溪,3,1,1,1,5,5,1,2,-2,3,-2,3,-2,1,2,4,5,5,5,5,5,3,1,1,1,1,3,5,5,5,5,5,5,2,5,5,3,2,2,3,5,5,5,5,5,5,2,3,4,4,3,3,3,3,3,3,3,3
1,4,北京,北京,东城,3,2,1,1,4,2,3,1,2,-2,1,2,-2,3,-2,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1
2,7,山东,青岛,市北,5,3,4,1,1,1,1,3,2,-2,-2,1,-2,2,3,4,5,5,5,5,5,5,1,1,4,4,5,5,5,5,5,5,5,4,5,5,5,4,4,4,4,5,4,5,5,5,5,3,4,4,4,4,5,3,5,5,5,5
2,2,吉林,长春,南关,4,1,1,2,5,5,3,1,-2,2,3,-2,-2,1,2,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,4,4,4,4,3,4,4,4,3,3,5,4,4,4,4,4,4,3,3,3,3
2,1,广东,深圳,南山,4,1,1,1,3,5,1,2,3,-2,1,-2,3,2,-2,3,5,5,5,5,5,5,1,1,2,4,4,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,1,1,1,1
2,4,广东,广州,荔湾,4,3,3,1,3,3,1,2,3,-2,2,1,-2,3,-2,2,5,5,5,5,5,4,1,1,1,1,4,5,5,5,5,5,5,5,5,5,5,1,1,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,3,3
1,3,广东,广州,天河,4,2,3,1,3,2,1,2,3,-2,1,2,-2,3,-2,2,5,5,4,4,5,5,1,1,1,2,2,3,5,5,5,3,5,5,5,5,5,1,1,1,1,5,5,5,4,5,5,5,5,5,5,4,4,4,1,1,1,1
1,1,广东,广州,番禺,5,2,4,2,2,3,1,2,3,-2,-2,3,2,-2,1,2,4,4,4,4,5,4,4,3,4,3,4,3,3,4,3,3,3,4,3,4,4,4,5,4,5,4,4,4,4,4,4,4,3,4,3,4,3,3,1,2,2,2
1,5,内蒙古,包头,东河,3,1,2,1,2,2,3,2,1,-2,3,-2,1,2,-2,3,3,4,4,3,4,3,4,4,3,4,3,4,4,4,4,3,4,4,4,4,4,5,5,4,5,4,5,4,4,4,4,5,4,4,4,4,5,4,1,2,2,1
2,2,广东,广州,番禺,3,1,1,2,3,5,1,2,3,-2,3,2,-2,1,-2,3,5,5,5,5,5,3,1,1,5,5,5,5,5,5,5,4,5,4,5,5,4,5,5,2,3,5,5,5,5,5,5,5,5,4,4,5,4,5,2,2,2,2
2,2,福建,福州,闽侯,4,1,1,1,3,2,1,2,3,-2,3,-2,1,2,-2,3,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,1,2,3,2
1,6,福建,泉州,鲤城,4,3,2,1,3,2,1,2,4,3,1,3,2,-2,-2,2,4,4,4,5,3,3,4,3,3,2,3,4,3,5,3,3,3,4,3,4,3,3,2,3,4,3,3,3,4,3,4,3,3,2,3,3,4,3,2,3,2,2
1,6,广东,广州,番禺,3,1,1,2,5,5,1,2,3,-2,-2,3,1,2,-2,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1
1,2,江苏,无锡,滨湖,4,1,1,2,5,2,-2,1,3,2,1,-2,3,2,-2,3,5,5,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,3,5,3,4,5,5,4,1,1,1,1
1,4,广西,柳州,城中,4,2,3,1,3,4,1,2,3,-2,2,1,3,-2,-2,4,5,5,5,5,5,5,5,1,2,4,3,3,5,5,5,5,5,5,5,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2,2,广西,柳州,柳北,4,2,2,2,4,3,1,2,3,-2,1,-2,3,2,-2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,3,4,5,4
2,2,广西,柳州,柳北,4,2,2,2,3,2,1,2,3,-2,1,-2,2,3,-2,4,5,5,5,5,5,5,2,2,5,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,3,4,4
1,5,广西,柳州,城中,5,2,4,1,3,1,1,2,-2,3,-2,1,-2,2,3,3,5,5,4,5,5,4,1,1,3,5,5,5,5,5,5,5,5,4,5,4,4,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4
2,4,云南,昆明,晋宁,3,3,2,1,5,5,3,2,-2,1,-2,1,-2,2,3,3,4,4,5,5,4,3,2,2,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,5,5,2,2,2,2
1,1,广东,广州,番禺,4,1,1,1,5,2,3,2,1,-2,1,-2,3,2,-2,3,4,4,4,4,5,5,1,2,2,2,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,3,3,4,4,4,3,4,4,4,4,3,3,3,2,2,2,2
2,5,广西,柳州,城中,4,2,2,1,3,4,1,2,-2,3,-2,1,3,2,-2,4,5,5,5,5,5,5,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,2,1,1,1,1,1,4,4,4,4
1,3,广东,广州,番禺,4,3,4,1,1,1,1,3,2,-2,-2,1,3,2,-2,1,1,1,1,1,1,1,3,3,4,2,4,4,3,3,4,4,2,3,4,4,4,3,2,4,3,3,3,3,3,2,3,4,4,4,3,3,4,4,5,2,3,3
1,2,广东,广州,越秀,3,1,1,2,4,5,1,2,3,-2,1,-2,3,2,-2,2,4,3,3,4,5,4,2,1,2,4,4,4,5,5,5,4,4,4,4,4,3,2,3,3,3,5,5,5,4,5,3,4,4,4,4,4,3,3,2,2,2,2
1,2,广东,广州,番禺,5,1,1,2,3,4,1,2,3,-2,3,-2,2,1,-2,3,4,4,5,4,5,5,2,2,2,4,4,4,5,5,5,4,4,4,4,3,4,3,3,4,4,4,4,5,4,5,3,3,3,3,2,2,4,3,2,2,2,2
2,5,广东,广州,越秀,4,2,4,2,4,1,1,2,-2,3,1,-2,-2,2,3,1,5,4,3,4,5,5,1,2,2,3,5,4,5,5,5,4,5,3,4,5,3,2,3,5,3,5,5,5,4,5,3,5,5,4,5,3,4,3,1,2,1,2
2,1,广东,广州,天河,4,1,1,1,3,5,1,2,3,-2,2,3,-2,1,-2,3,3,3,3,3,5,5,1,2,2,2,4,4,5,5,5,5,5,4,4,4,5,4,4,4,4,5,5,5,4,5,5,3,3,4,3,4,5,3,2,2,2,2
1,2,广东,广州,番禺,4,1,1,1,3,4,2,1,3,-2,2,-2,3,1,-2,3,4,4,4,4,5,5,2,2,3,3,3,3,4,4,4,4,4,4,4,4,4,3,3,3,3,4,4,4,4,4,3,4,4,4,3,4,4,3,2,2,2,2
2,5,广东,广州,越秀,4,2,4,1,1,4,1,2,3,-2,3,2,1,-2,-2,3,4,4,4,4,4,4,2,1,2,2,4,4,4,4,4,4,4,3,4,4,4,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3
2,3,陕西,铜川,耀州,4,3,1,1,5,5,3,2,-2,1,-2,1,-2,2,3,3,5,5,5,5,5,4,1,2,3,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,3,3,3,4
2,2,浙江,杭州,江干,4,1,1,1,4,4,-2,1,2,3,2,-2,1,3,-2,3,4,4,4,4,5,5,2,2,3,4,4,4,5,5,5,5,3,4,4,4,3,3,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,2,2,2,2
2,7,广东,广州,越秀,2,3,1,2,4,4,-2,1,2,3,2,-2,-2,1,3,4,4,4,4,2,5,2,1,1,1,1,1,5,5,5,5,3,2,2,4,4,1,3,3,3,5,5,5,5,2,3,2,4,3,4,3,3,3,3,2,4,2,3
2,6,黑龙江,哈尔滨,道里,4,3,2,1,5,4,-2,1,3,2,-2,2,3,1,-2,3,3,4,3,3,4,5,2,2,2,4,4,4,5,5,4,4,4,4,4,4,4,3,4,4,4,5,4,4,4,4,4,2,3,3,1,3,3,3,3,3,3,3
1,7,广东,广州,越秀,2,3,1,2,5,5,-2,3,2,1,-2,-2,2,1,3,5,4,4,4,4,5,2,1,1,3,3,3,3,5,5,5,3,5,3,3,3,3,3,3,3,3,5,5,5,3,5,3,5,5,5,5,3,3,3,3,3,3,3
2,2,湖北,武汉,江夏,4,1,1,1,4,2,2,1,3,-2,1,3,-2,2,-2,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1
2,1,辽宁,大连,沙河口,4,1,1,1,3,4,1,2,3,-2,3,1,-2,2,-2,3,5,5,3,4,5,4,1,1,3,5,4,5,5,5,5,5,5,4,3,4,3,4,5,5,5,5,5,5,5,5,4,4,4,4,3,4,4,4,2,2,3,2
1,2,广东,广州,番禺,4,1,1,2,2,4,1,2,3,-2,1,-2,3,2,-2,2,4,4,4,4,4,4,2,2,2,4,3,3,4,4,4,4,4,2,4,3,4,2,3,4,3,4,4,4,4,4,2,3,3,3,3,4,4,3,2,2,2,2
2,6,福建,厦门,海沧,3,3,1,2,5,5,-2,2,3,1,3,-2,2,1,-2,4,2,1,2,1,4,4,1,1,1,4,1,4,5,5,5,5,5,5,4,4,4,3,3,3,4,5,5,5,5,5,5,4,4,4,4,3,5,3,4,3,3,3
2,5,广东,广州,越秀,5,2,4,1,3,2,1,2,3,-2,1,2,-2,3,-2,1,4,4,4,4,4,4,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,2,2,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,2,2,2,2
2,6,福建,厦门,海沧,3,3,1,2,5,4,-2,3,2,1,3,-2,2,1,-2,4,3,3,3,3,4,5,2,2,3,3,3,3,3,3,3,3,4,3,3,3,3,4,4,4,3,3,3,3,3,3,3,3,3,3,3,4,3,4,3,3,2,2
2,2,湖北,荆门,东宝,4,1,1,2,5,5,1,2,-2,3,1,-2,-2,2,3,3,4,4,4,4,4,3,1,1,2,5,4,5,5,5,5,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,2,2,2
2,5,河北,保定,定州,4,2,2,1,4,5,1,2,-2,3,-2,3,2,1,-2,5,4,5,3,5,5,4,1,1,5,4,4,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,3,3,3,3
2,1,重庆,重庆,沙坪坝,4,1,1,1,3,4,1,2,-2,3,-2,2,-2,1,3,4,4,4,4,4,4,2,2,2,2,3,2,4,5,5,5,5,5,5,5,5,5,2,3,2,4,5,5,5,5,5,5,4,4,4,3,4,4,4,4,4,4,4
1,1,北京,北京,海淀,3,1,1,1,3,5,1,2,3,-2,2,3,-2,1,-2,4,4,4,4,4,4,4,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,2,3,2
1,7,河北,保定,曲阳,2,3,1,2,4,4,-2,3,2,1,-2,-2,2,1,3,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,4,4,4,4
2,4,黑龙江,哈尔滨,道里,5,3,1,1,3,3,-2,1,3,2,-2,1,-2,3,2,4,3,5,3,5,4,4,2,1,2,3,3,4,5,5,5,5,5,5,5,5,5,2,2,3,4,5,5,5,5,5,5,5,5,5,2,3,5,3,3,3,4,4
1,1,贵州,毕节,威宁彝族回族苗族自治,3,1,1,2,5,4,3,1,2,-2,-2,-2,3,1,2,5,4,4,4,4,4,4,1,1,3,3,4,4,4,4,4,4,4,3,3,3,4,3,3,4,2,4,4,4,4,4,4,4,4,4,3,3,4,3,3,3,3,3
2,2,广东,广州,番禺,4,1,1,1,5,4,3,2,-2,1,1,-2,-2,3,2,4,3,4,2,4,5,2,5,2,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,2,2,2,3,4,3,3,3,3,4
1,6,河北,保定,定州,4,2,2,1,4,5,1,2,-2,3,-2,2,3,1,-2,5,4,5,4,4,5,4,2,1,4,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,3,3,3,3,3,4,4,4,4
1,1,广东,广州,越秀,3,1,1,1,3,4,1,2,-2,3,-2,2,3,1,-2,3,4,4,4,4,4,4,4,2,4,2,4,4,5,5,5,5,5,2,4,4,2,4,2,4,4,4,4,4,4,4,2,3,3,3,3,3,3,3,2,2,2,2
1,1,广东,广州,越秀,3,1,1,1,3,4,1,2,3,-2,-2,2,3,1,-2,4,4,4,4,4,4,4,4,2,4,2,4,4,4,4,4,4,4,2,4,4,4,5,5,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2
2,7,河北,保定,曲阳,1,3,1,2,5,5,-2,2,3,1,-2,-2,2,1,3,5,4,3,3,3,5,4,2,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,3,3,3,3,3,4,4,4,4
1,5,贵州,毕节,威宁彝族回族苗族自治,4,3,1,2,3,3,1,2,3,-2,-2,3,2,1,-2,3,4,4,4,4,5,4,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4
1,3,广西,南宁,江南,4,3,2,1,3,1,1,2,3,-2,2,1,3,-2,-2,3,4,4,4,4,4,3,2,2,3,3,3,4,4,5,4,4,4,4,4,3,4,3,3,3,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,4,4,4
1,2,广东,广州,番禺,4,1,1,2,3,3,1,3,2,-2,1,-2,2,3,-2,3,4,4,4,4,4,4,2,2,2,4,4,4,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,2,1,1,1
1,2,广西,南宁,江南,4,2,2,1,3,1,1,2,3,-2,-2,3,1,2,-2,4,5,5,5,5,5,5,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,3,3,5,5,5,4,4,4,4
1,1,广东,广州,番禺,4,1,1,1,5,4,3,2,1,-2,1,-2,-2,2,3,2,4,4,3,4,4,4,1,1,3,3,3,3,4,4,4,4,4,3,4,4,4,3,3,3,3,4,4,4,4,4,4,3,3,3,3,3,3,3,1,1,1,1
